VACINAS,Convenio,Preco
BCG,AMIL,102.2
Dengue (Qdenga),AMIL,415.0
Febre Amarela,AMIL,177.94
Febre Tifóide,AMIL,130.16
Gripe HD quadri 2025 (Efluelda),AMIL,0.0
Gripe quadrivalente 2025,AMIL,128.56
Gripe Trivalente,AMIL,0.0
Haemophius (Act Hib),AMIL,94.23
Hepatite A + B Ad.,AMIL,257.5
Hepatite A Adt.,AMIL,198.46
Hepatite A Ped.,AMIL,154.65
Hepatite B Adt.,AMIL,0.0
Hepatite B Ped.,AMIL,81.59
Herpes Zóster (Shingrix),AMIL,0.0
Hexa,AMIL,384.33
HPV 9V  (Gardasil 9),AMIL,935.0
Meningo ACWY,AMIL,413.91
Meningo B  (Bexsero - GSK ),AMIL,0.0
Meningo B  (Trumenba - Pfizer ),AMIL,0.0
Penta,AMIL,325.0
Pneumocócica 13V (Prevenar 13),AMIL,304.74
Pneumocócica 15V (Vaxneuvance),AMIL,342.37
Pneumocócica 20V  (Prevenar 20),AMIL,0.0
Pneumocócica 23V,AMIL,125.35
Rotavírus 5v (Rotateq),AMIL,346.29
Tetra bacteriana (dTpa/IPV),AMIL,0.0
Tetra Viral,AMIL,370.8
Tríplice Bacteriana AD (dTpa),AMIL,256.1
Tríplice Viral,AMIL,93.9
Varicela,AMIL,294.73
AJOVY,AMIL,0.0
Dupilumabe (Dupixent),AMIL,0.0
Imunoglobulina Anti- Rh,AMIL,0.0
"Neo Decapeptyl LP® 11,25 mg",AMIL,0.0
"Neo Decapeptyl LP® 22,5 mg",AMIL,0.0
"Neo Decapeptyl® 3,75 mg",AMIL,0.0
Nirsevimabe (Beyfortus) ,AMIL,0.0
"Palivizumabe 0,5ml",AMIL,0.0
Palivizumabe 1ml,AMIL,0.0
VSR (Abrysvo),AMIL,0.0
VSR (Arexvy),AMIL,0.0
Consulta ao viajante (Somente copacabana) ,AMIL,0.0
Perfuração de orelha ad/ped,AMIL,0.0
Teste da Orelhinha,AMIL,0.0
Teste do Pezinho Básico,AMIL,151.89
Teste do Pezinho Novo Plus,AMIL,0.0
Teste do Pezinho Novo Ampliado,AMIL,151.89
